Domain	Phylum	Class	Order	Family	Genus	Species	Oral Taxon ID	Domain_Taxon_Count	Phylum_Taxon_Count	Class_Taxon_Count	Order_Taxon_Count	Family_Taxon_Count	Genus_Taxon_Count	Species_Taxon_Count	Domain_Seq_Count	Phylum_Seq_Count	Class_Seq_Count	Order_Seq_Count	Family_Seq_Count	Genus_Seq_Count	Species_Seq_Count	Domain_Clone_Count	Phylum_Clone_Count	Class_Clone_Count	Order_Clone_Count	Family_Clone_Count	Genus_Clone_Count	Species_Clone_Count
Bacteria	Absconditabacteria (SR1)	Absconditabacteria (SR1) [C-1]	Absconditabacteria (SR1) [O-1]	Absconditabacteria (SR1) [F-1]	Absconditabacteria (SR1) [G-1]	bacterium HMT 345	345	788	5	3	3	3	3	1	1567	1	1	1	1	1	0	0	0	0	0	0	0	0
Bacteria	Absconditabacteria (SR1)	Absconditabacteria (SR1) [C-1]	Absconditabacteria (SR1) [O-1]	Absconditabacteria (SR1) [F-1]	Absconditabacteria (SR1) [G-1]	bacterium HMT 874	874	788	5	3	3	3	3	1	1567	1	1	1	1	1	1	0	0	0	0	0	0	0
Bacteria	Absconditabacteria (SR1)	Absconditabacteria (SR1) [C-1]	Absconditabacteria (SR1) [O-1]	Absconditabacteria (SR1) [F-1]	Absconditabacteria (SR1) [G-1]	bacterium HMT 875	875	788	5	3	3	3	3	1	1567	1	1	1	1	1	0	0	0	0	0	0	0	0
Bacteria	Absconditabacteria (SR1)	Absconditabacteria (SR1) [C-2]	Absconditabacteria (SR1) [O-2]	Absconditabacteria (SR1) [F-2]	Absconditabacteria (SR1) [G-2]	bacterium HMT 990	990	788	5	1	1	1	1	1	1567	1	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Absconditabacteria (SR1)	Absconditabacteria (SR1) [C-3]	Absconditabacteria (SR1) [O-3]	Absconditabacteria (SR1) [F-3]	Absconditabacteria (SR1) [G-3]	bacterium HMT 991	991	788	5	1	1	1	1	1	1567	1	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	dentalis	888	788	118	103	43	34	22	1	1567	299	282	57	44	28	1	0	0	0	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	gerencseriae	618	788	118	103	43	34	22	1	1567	299	282	57	44	28	1	0	0	0	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	graevenitzii	866	788	118	103	43	34	22	1	1567	299	282	57	44	28	2	0	0	0	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	israelii	645	788	118	103	43	34	22	1	1567	299	282	57	44	28	1	0	0	0	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	johnsonii	849	788	118	103	43	34	22	1	1567	299	282	57	44	28	3	0	0	0	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	massiliensis	852	788	118	103	43	34	22	1	1567	299	282	57	44	28	2	0	0	0	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	naeslundii	176	788	118	103	43	34	22	1	1567	299	282	57	44	28	2	0	0	0	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	odontolyticus	701	788	118	103	43	34	22	1	1567	299	282	57	44	28	4	0	0	0	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	oricola	708	788	118	103	43	34	22	1	1567	299	282	57	44	28	0	0	0	0	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	oris	893	788	118	103	43	34	22	1	1567	299	282	57	44	28	2	0	0	0	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	radicidentis	746	788	118	103	43	34	22	1	1567	299	282	57	44	28	1	0	0	0	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	sp. HMT 169	169	788	118	103	43	34	22	1	1567	299	282	57	44	28	0	0	0	0	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	sp. HMT 170	170	788	118	103	43	34	22	1	1567	299	282	57	44	28	1	0	0	0	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	sp. HMT 171	171	788	118	103	43	34	22	1	1567	299	282	57	44	28	2	0	0	0	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	sp. HMT 175	175	788	118	103	43	34	22	1	1567	299	282	57	44	28	1	0	0	0	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	sp. HMT 414	414	788	118	103	43	34	22	1	1567	299	282	57	44	28	1	0	0	0	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	sp. HMT 448	448	788	118	103	43	34	22	1	1567	299	282	57	44	28	1	0	0	0	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	sp. HMT 525	525	788	118	103	43	34	22	1	1567	299	282	57	44	28	0	0	0	0	0	0	0	0
